⦀	triple vertical bar delimiter 	u+2980	2980
⦁	z notation spot 	u+2981	2981
⦂	z notation type colon 	u+2982	2982
⦃	left white curly bracket 	u+2983	2983
⦄	right white curly bracket 	u+2984	2984
⦅	left white parenthesis 	u+2985	2985
⦆	right white parenthesis 	u+2986	2986
⦇	z notation left image bracket 	u+2987	2987
⦈	z notation right image bracket 	u+2988	2988
⦉	z notation left binding bracket 	u+2989	2989
⦊	z notation right binding bracket 	u+298a	298a
⦋	left square bracket with underbar 	u+298b	298b
⦌	right square bracket with underbar 	u+298c	298c
⦍	left square bracket with tick in top corner 	u+298d	298d
⦎	right square bracket with tick in bottom corner 	u+298e	298e
⦏	left square bracket with tick in bottom corner 	u+298f	298f
⦐	right square bracket with tick in top corner 	u+2990	2990
⦑	left angle bracket with dot 	u+2991	2991
⦒	right angle bracket with dot 	u+2992	2992
⦓	left arc less-than bracket 	u+2993	2993
⦔	right arc greater-than bracket 	u+2994	2994
⦕	double left arc greater-than bracket 	u+2995	2995
⦖	double right arc less-than bracket 	u+2996	2996
⦗	left black tortoise shell bracket 	u+2997	2997
⦘	right black tortoise shell bracket 	u+2998	2998
⦙	dotted fence 	u+2999	2999
⦚	vertical zigzag line 	u+299a	299a
⦛	measured angle opening left 	u+299b	299b
⦜	right angle variant with square 	u+299c	299c
⦝	measured right angle with dot 	u+299d	299d
⦞	angle with s inside 	u+299e	299e
⦟	acute angle 	u+299f	299f
⦠	spherical angle opening left 	u+29a0	29a0
⦡	spherical angle opening up 	u+29a1	29a1
⦢	turned angle 	u+29a2	29a2
⦣	reversed angle 	u+29a3	29a3
⦤	angle with underbar 	u+29a4	29a4
⦥	reversed angle with underbar 	u+29a5	29a5
⦦	oblique angle opening up 	u+29a6	29a6
⦧	oblique angle opening down 	u+29a7	29a7
⦨	measured angle with open arm ending in arrow pointing up and right 	u+29a8	29a8
⦩	measured angle with open arm ending in arrow pointing up and left 	u+29a9	29a9
⦪	measured angle with open arm ending in arrow pointing down and right 	u+29aa	29aa
⦫	measured angle with open arm ending in arrow pointing down and left 	u+29ab	29ab
⦬	measured angle with open arm ending in arrow pointing right and up 	u+29ac	29ac
⦭	measured angle with open arm ending in arrow pointing left and up 	u+29ad	29ad
⦮	measured angle with open arm ending in arrow pointing right and down 	u+29ae	29ae
⦯	measured angle with open arm ending in arrow pointing left and down 	u+29af	29af
⦰	reversed empty set 	u+29b0	29b0
⦱	empty set with overbar 	u+29b1	29b1
⦲	empty set with small circle above 	u+29b2	29b2
⦳	empty set with right arrow above 	u+29b3	29b3
⦴	empty set with left arrow above 	u+29b4	29b4
⦵	circle with horizontal bar 	u+29b5	29b5
⦶	circled vertical bar 	u+29b6	29b6
⦷	circled parallel 	u+29b7	29b7
⦸	circled reverse solidus 	u+29b8	29b8
⦹	circled perpendicular 	u+29b9	29b9
⦺	circle divided by horizontal bar and top half divided by vertical bar 	u+29ba	29ba
⦻	circle with superimposed x 	u+29bb	29bb
⦼	circled anticlockwise-rotated division sign 	u+29bc	29bc
⦽	up arrow through circle 	u+29bd	29bd
⦾	circled white bullet 	u+29be	29be
⦿	circled bullet 	u+29bf	29bf
⧀	circled less-than 	u+29c0	29c0
⧁	circled greater-than 	u+29c1	29c1
⧂	circle with small circle to the right 	u+29c2	29c2
⧃	circle with two horizontal strokes to the right 	u+29c3	29c3
⧄	squared rising diagonal slash 	u+29c4	29c4
⧅	squared falling diagonal slash 	u+29c5	29c5
⧆	squared asterisk 	u+29c6	29c6
⧇	squared small circle 	u+29c7	29c7
⧈	squared square 	u+29c8	29c8
⧉	two joined squares 	u+29c9	29c9
⧊	triangle with dot above 	u+29ca	29ca
⧋	triangle with underbar 	u+29cb	29cb
⧌	s in triangle 	u+29cc	29cc
⧍	triangle with serifs at bottom 	u+29cd	29cd
⧎	right triangle above left triangle 	u+29ce	29ce
⧏	left triangle beside vertical bar 	u+29cf	29cf
⧐	vertical bar beside right triangle 	u+29d0	29d0
⧑	bowtie with left half black 	u+29d1	29d1
⧒	bowtie with right half black 	u+29d2	29d2
⧓	black bowtie 	u+29d3	29d3
⧔	times with left half black 	u+29d4	29d4
⧕	times with right half black 	u+29d5	29d5
⧖	white hourglass 	vertical bowtie , white framus	29d6
⧗	black hourglass 	u+29d7	29d7
⧘	left wiggly fence 	u+29d8	29d8
⧙	right wiggly fence 	u+29d9	29d9
⧚	left double wiggly fence 	u+29da	29da
⧛	right double wiggly fence 	u+29db	29db
⧜	incomplete infinity 	isotech entity &iinfin,	29dc
⧝	tie over infinity 	u+29dd	29dd
⧞	infinity negated with vertical bar 	u+29de	29de
⧟	double-ended multimap 	u+29df	29df
⧠	square with contoured outline 	d'alembertian	29e0
⧡	increases as 	u+29e1	29e1
⧢	shuffle product 	u+29e2	29e2
⧣	equals sign and slanted parallel 	u+29e3	29e3
⧤	equals sign and slanted parallel with tilde above 	u+29e4	29e4
⧥	identical to and slanted parallel 	u+29e5	29e5
⧦	gleich stark 	tautological equivalent	29e6
⧧	thermodynamic 	u+29e7	29e7
⧨	down-pointing triangle with left half black 	u+29e8	29e8
⧩	down-pointing triangle with right half black 	u+29e9	29e9
⧪	black diamond with down arrow 	u+29ea	29ea
⧫	black lozenge 	u+29eb	29eb
⧬	white circle with down arrow 	u+29ec	29ec
⧭	black circle with down arrow 	u+29ed	29ed
⧮	error-barred white square 	u+29ee	29ee
⧯	error-barred black square 	u+29ef	29ef
⧰	error-barred white diamond 	u+29f0	29f0
⧱	error-barred black diamond 	u+29f1	29f1
⧲	error-barred white circle 	u+29f2	29f2
⧳	error-barred black circle 	u+29f3	29f3
⧴	rule-delayed 	colon right arrow	29f4
⧵	reverse solidus operator 	u+29f5	29f5
⧶	solidus with overbar 	u+29f6	29f6
⧷	reverse solidus with horizontal stroke 	u+29f7	29f7
⧸	big solidus 	u+29f8	29f8
⧹	big reverse solidus 	z notation schema hiding	29f9
⧺	double plus 	u+29fa	29fa
⧻	triple plus 	u+29fb	29fb
⧼	left-pointing curved angle bracket 	u+29fc	29fc
⧽	right-pointing curved angle bracket 	u+29fd	29fd
⧾	tiny 	u+29fe	29fe
⧿	miny 	u+29ff	29ff
